avg_reward,avg_loss,avg_q,avg_ep_reward,max_ep_reward,min_ep_reward,num_game
0.388,0.10844265575390338,1.9288877688981976,13.566433566433567,120.0,0.0,143
0.396,0.10054721853887577,2.0873544242584035,14.0,120.0,0.0,140
0.372,0.11198527514724614,2.288460080621739,13.006993006993007,100.0,0.0,143
0.512,0.10318391832507412,2.0221771532684425,18.55072463768116,180.0,0.0,138
0.536,0.10609705372383202,2.148709548529612,20.0,200.0,0.0,132
0.44,0.11043124413959518,2.3245459451161548,14.437086092715232,100.0,0.0,151
0.524,0.11109150390390779,2.332316663467214,18.970588235294116,160.0,0.0,136
0.492,0.11644867287463156,2.5123238033089295,16.84931506849315,100.0,0.0,146
0.472,0.10907347716990967,2.414523347244021,19.1869918699187,100.0,0.0,123
0.472,0.11513791174964459,2.453002570643844,17.058823529411764,120.0,0.0,136
0.496,0.10930308777733085,2.280014542861298,17.103448275862068,120.0,0.0,145
0.508,0.10856331549939785,2.26704669886648,18.01418439716312,100.0,0.0,141
0.512,0.11173252032085476,2.210826636870891,19.24812030075188,200.0,0.0,133
0.48,0.10501641936982178,2.259707413649219,17.26618705035971,120.0,0.0,139
0.524,0.10952918568918882,2.305260581622875,19.848484848484848,140.0,0.0,132
0.54,0.1037055028563238,2.2811802783280446,21.774193548387096,120.0,0.0,124
0.5,0.10595976389194034,2.3486728093892384,17.553956834532375,140.0,0.0,139
0.544,0.10774478356474616,2.332746841562049,21.25,160.0,0.0,128
0.604,0.1053143709185193,2.3296743715366293,24.705882352941178,240.0,0.0,119
0.42,0.11226523586299407,2.32537102113624,14.685314685314685,120.0,0.0,143
0.452,0.11293908541358677,2.2859731694581673,16.74074074074074,120.0,0.0,135
0.612,0.10174706248380251,2.2689131216844176,25.5,160.0,0.0,120
0.556,0.10310199391594568,2.283276689496195,20.59259259259259,120.0,0.0,135
0.528,0.1063027726838659,2.2755020821934546,20.952380952380953,160.0,0.0,126
0.564,0.10543820184155557,2.286147182981488,27.184466019417474,180.0,0.0,103
0.636,0.1074598544610061,2.34457359952013,27.24137931034483,160.0,0.0,116
0.576,0.10349251163632545,2.3198112610872075,23.225806451612904,160.0,0.0,124
0.644,0.10550262852032297,2.26970244304125,28.24561403508772,200.0,0.0,114
0.524,0.10566736105911857,2.3470869162492307,18.962962962962962,160.0,0.0,135
0.58,0.1001682299857516,2.3639360269540464,27.102803738317757,180.0,0.0,107
0.556,0.10490713390889052,2.356901906354033,21.73228346456693,180.0,0.0,127
0.616,0.10689627946706576,2.3701530941308535,26.324786324786324,160.0,0.0,117
